用例 ID,模块,优先级,用例标题,前置条件,测试步骤,预期结果,实际结果,备注
TC001,页面 1 - 查看 - 权限,P0,无查看权限用户访问页面 1,用户角色无 VIEW 权限，页面 1 已配置查看权限控制,①直接输入页面 1 查看路径/page1/view；②调用接口GET /api/page1/data,①返回 403 无权限页面；②接口返回 403 状态码,,
TC002,页面 1 - 查看 - 隔离,P0,跨部门用户无法查看页面 1 其他部门数据,U1 属于 DeptA，页面 1 存在 DeptB 的 dataX 数据，U1 数据权限为部门级,调用接口GET /api/page1/data/{dataX},接口返回 404 状态码或空列表,,
TC003,页面 1 - 查看 - 数据移动,P0,页面 1 数据跨部门移动后原属主无权限查看,dataX 原属 DeptB 的 U2，管理员将 dataX 移动至 DeptA，U2 无 DeptA 数据查看权限,U2 通过页面 1 或接口GET /api/page1/data/{dataX}查看 dataX,页面提示 “记录不存在”，接口返回 404 状态码,,数据移动后权限立即失效
TC004,页面 1 - 查看 - 数据范围 - 个人,P0,页面 1 个人级权限用户仅查看自身数据,U1 数据权限为个人级，页面 1 存在 U1 的 data1 和同部门 U2 的 data2,U1 访问页面 1 查看数据列表,仅显示 data1，不显示 data2,,
TC005,页面 1 - 查看 - 数据范围 - 部门,P0,页面 1 部门级权限用户查看本部门所有数据,U1 数据权限为部门级，DeptA 有 10 条数据，其他部门有 5 条数据,U1 访问页面 1 查看数据列表,仅显示 DeptA 的 10 条数据，不显示其他部门数据,,
TC006,页面 1 - 查看 - 数据范围 - 全量,P0,页面 1 全量权限用户查看所有数据,U1 数据权限为全量级，系统中页面 1 共有 50 条数据（含各部门）,U1 访问页面 1 查看数据列表,显示全部 50 条数据,,
TC007,页面 2 - 查看 - 权限,P0,无查看权限用户访问页面 2,用户角色无 VIEW 权限，页面 2 已配置查看权限控制,①直接输入页面 2 查看路径/page2/view；②调用接口GET /api/page2/data,①返回 403 无权限页面；②接口返回 403 状态码,,
TC008,页面 2 - 查看 - 隔离,P0,跨部门用户无法查看页面 2 其他部门数据,U1 属于 DeptA，页面 2 存在 DeptB 的 dataY 数据，U1 数据权限为部门级,调用接口GET /api/page2/data/{dataY},接口返回 404 状态码或空列表,,
TC009,页面 3 - 查看 - 权限,P0,有查看权限用户正常访问页面 3,用户角色含 VIEW 权限，页面 3 已配置查看权限控制,①直接输入页面 3 查看路径/page3/view；②调用接口GET /api/page3/data,①成功进入页面 3；②接口返回 200 状态码及对应数据,,
TC010,页面 3 - 查看 - 数据更新同步,P1,页面 3 数据被编辑后查看页面同步更新,U1 有页面 3 查看权限，U2 有页面 3 编辑权限，存在 dataZ 数据,①U1 打开页面 3 查看 dataZ；②U2 编辑 dataZ 并保存；③U1 刷新页面 3,U1 页面显示 dataZ 的最新编辑后数据,,
TC011,页面 4 - 查看 - 分页,P1,页面 4 查看数据分页功能正常,页面 4 有 200 条数据，分页配置每页 20 条,U1 访问页面 4，切换页码 1-10,每页显示 20 条数据，页码切换正常，无数据重复或缺失,,
TC012,页面 4 - 查看 - 搜索筛选,P1,页面 4 搜索筛选功能符合权限范围,U1 数据权限为部门级（DeptA），页面 4 存在 DeptA 含关键词 “test” 的 3 条数据和其他部门含 “test” 的 2 条数据,U1 在页面 4 输入关键词 “test” 搜索,仅显示 DeptA 的 3 条含 “test” 关键词数据,,
TC013,页面 1 - 编辑 - 权限 - 无权限,P0,仅查看权限用户无法编辑页面 1 数据,用户角色仅含 VIEW 权限，无 EDIT 权限，页面 1 存在 data1 数据,①访问页面 1 找到 data1，点击 “编辑” 按钮；②调用编辑接口PUT /api/page1/data/{data1},①编辑按钮灰色不可点击；②接口返回 403 状态码,,
TC014,页面 1 - 编辑 - 权限 - 有权限,P0,有编辑权限用户正常编辑页面 1 自身数据,U1 有 EDIT 权限，data1 属于 U1，页面 1 已配置编辑权限控制,①访问页面 1 找到 data1，点击 “编辑”；②修改字段值（如 name）；③保存并调用接口PUT /api/page1/data/{data1},①编辑页面正常打开；②保存成功，接口返回 200 状态码；③数据更新为修改后的值,,
