deviceid,signalsid,signalname,alarmlevel,signalnumber,nmalarmid
100100000000001,001301,线电压Uab,4,000,
100100000000001,001001,AB线电压过高告警,4,000,601-001-1-001001
100100000000001,001002,AB线电压过低告警,3,000,601-001-1-001002
100100000000001,001003,BC线电压过高告警,4,000,601-001-1-001003
100100000000001,001004,BC线电压过低告警,3,000,601-001-1-001004
100100000000001,001005,CA线电压过高告警,4,000,601-001-1-001005
100100000000001,001006,CA线电压过低告警,3,000,601-001-1-001006
100100000000001,001007,A相电流过大告警,3,000,601-001-1-001007
100100000000001,001008,B相电流过大告警,3,000,601-001-1-001008
100100000000001,001009,C相电流过大告警,3,000,601-001-1-001009
100100000000001,001010,零序电流过大告警,3,000,601-001-1-001010
100100000000001,001011,三相功率因数过低告警,4,000,601-001-1-001011
100100000000001,001012,频率过高告警,4,000,601-001-1-001012
100100000000001,001013,频率过低告警,4,000,601-001-1-001013
100100000000001,001014,失压跳闸信号告警,2,000,601-001-1-001014
100100000000001,001015,绝缘下降告警,3,000,601-001-1-001015
100100000000001,001016,保护电流I段跳闸保护动作告警,2,000,601-001-1-001016
100100000000001,001017,保护电流II段跳闸保护动作告警,2,000,601-001-1-001017
100100000000001,001030,合母电压高告警,3,000,601-001-1-001030
100100000000001,001031,合母电压低告警,3,000,601-001-1-001031
100100000000001,001032,控母电压高告警,3,000,601-001-1-001032
100100000000001,001033,控母电压低告警,3,000,601-001-1-001033
100100000000001,001034,电池故障告警,2,000,601-001-1-001034
100100000000001,001035,电池温度过高告警,3,000,601-001-1-001035
100100000000001,001036,直流过流告警,2,000,601-001-1-001036
100100000000001,001037,交流停电告警,2,000,601-001-1-001037
100100000000001,001038,整流模块故障告警,3,000,601-001-1-001038
100100000000001,001039,单体XX电压过高告警,2,000,601-001-1-001039
100100000000001,001040,单体XX电压过低告警,2,000,601-001-1-001040
100100000000002,002101,低压开关合闸,4,000,
100100000000002,002102,低压开关分闸,2,000,
100100000000002,002103,ATS合闸到I位,2,000,
100100000000002,002104,ATS合闸到II位,4,000,
100100000000002,002105,ATS合闸到O位,4,000,
100100000000002,002301,线电压Uab,2,000,
100100000000002,002302,相电流Ia,2,000,
100100000000002,002303,相电压Ua,2,000,
100100000000002,002304,A相功率因数,2,000,
100100000000002,002305,视在功率Sa,2,000,
100100000000002,002306,无功功率Qa,1,000,
100100000000002,002307,有功功率Pa,1,000,
100100000000002,002308,线电压Ubc,1,000,
100100000000002,002309,相电流Ib,2,000,
100100000000002,002310,相电压Ub,1,000,
100100000000002,002311,B相功率因数,2,000,
100100000000002,002312,视在功率Sb,2,000,
100100000000002,002313,无功功率Qb,2,000,
100100000000002,002314,有功功率Pb,2,000,
100100000000002,002315,线电压Uca,3,000,
100100000000002,002316,相电流Ic,2,000,
100100000000002,002317,相电压Uc,3,000,
100100000000002,002318,C相功率因数,2,000,
100100000000002,002319,视在功率Sc,2,000,
100100000000002,002320,无功功率Qc,2,000,
100100000000002,002321,有功功率Pc,4,000,
100100000000002,002322,零线电流,1,000,
100100000000002,002323,投切步数,3,000,
100100000000002,002324,总功率因数,2,000,
100100000000002,002325,内部温度,3,000,
100100000000002,002326,基波电流,2,000,
100100000000002,002327,控制器温度,3,000,
100100000000002,002328,电压畸变率,3,000,
100100000000002,002329,总电流畸变率,2,000,
100100000000002,002330,正向有功电能,3,000,
100100000000002,002331,正向无功电能,3,000,
100100000000002,002332,反向有功电能,3,000,
100100000000002,002333,反向无功电能,2,000,
100100000000002,002334,IGBT温度,2,000,
100100000000002,002401,继电器XX输出状态,4,000,
100100000000002,002402,继电器XX输入状态,4,000,
100100000000002,002403,分合闸状态,4,000,
100100000000002,002001,A相电压过高告警,3,000,601-002-1-002001
100100000000002,002002,A相电压过低告警,3,000,601-002-1-002002
100100000000002,002003,B相电压过高告警,3,000,601-002-1-002003
100100000000002,002004,B相电压过低告警,3,000,601-002-1-002004
100100000000002,002005,C相电压过高告警,3,000,601-002-1-002005
100100000000002,002006,C相电压过低告警,3,000,601-002-1-002006
100100000000002,002007,A相电流过大告警,4,000,601-002-1-002007
100100000000002,002008,B相电流过大告警,4,000,601-002-1-002008
100100000000002,002009,C相电流过大告警,4,000,601-002-1-002009
100100000000002,002010,输入断电告警,2,000,601-002-1-002010
100100000000002,002011,零序电流过大告警,2,000,601-002-1-002011
100100000000002,002012,防雷器空开断开告警,3,000,601-002-1-002012
100100000000002,002013,防雷器故障告警,3,000,601-002-1-002013
100100000000002,002014,交流缺相告警,3,000,601-002-1-002014
100100000000002,002015,输出分路XX中断告警,2,000,601-002-1-002015
100100000000002,002020,功率因数过低告警,4,000,601-002-1-002020
100100000000002,002021,内部温度过高告警,2,000,601-002-1-002021
100100000000002,002022,风扇故障告警,3,000,601-002-1-002022
100100000000002,002023,电容补偿设备故障告警,3,000,601-002-1-002023
100100000000002,002030,电压畸变过大告警,4,000,601-002-1-002030
100100000000002,002031,电流畸变过大告警,4,000,601-002-1-002031
100100000000002,002032,IGBT温度过高告警,2,000,601-002-1-002032
100100000000002,002033,控制器温度过高告警,2,000,601-002-1-002033
100100000000002,002034,系统停止告警,4,000,601-002-1-002034
100100000000002,002035,谐波抑制设备故障告警,4,000,601-002-1-002035
100100000000003,003101,风机关控制,2,000,
100100000000003,003102,风机开控制,2,000,
100100000000003,003301,A相温度,2,000,
100100000000003,003302,B相温度,4,000,
100100000000003,003303,C相温度,3,000,
100100000000003,003201,超温告警值设定,4,000,
100100000000003,003202,超温跳闸值设定,3,000,
100100000000003,003401,风机状态,4,000,
100100000000003,003001,超温告警,2,000,601-003-1-003001
100100000000003,003002,系统告警,2,000,601-003-1-003002
100100000000003,003003,A相温度过高告警,2,000,601-003-1-003003
100100000000003,003004,B相温度过高告警,2,000,601-003-1-003004
100100000000003,003005,C相温度过高告警,2,000,601-003-1-003005
100100000000004,004301,直流电压,3,000,
100100000000004,004302,直流电流,3,000,
100100000000004,004303,分路XX输出电流,3,000,
100100000000004,004304,直流功率,3,000,
100100000000004,004001,欠压告警,1,000,601-004-1-004001
100100000000004,004002,熔丝告警,1,000,601-004-1-004002
100100000000004,004003,分路XX中断告警,1,000,601-004-1-004003
100100000000004,004004,过压告警,2,000,601-004-1-004004
100100000000005,005101,高压断路器合闸,3,000,
100100000000005,005102,高压断路器分闸,4,000,
100100000000005,005103,左燃机起动,4,000,
100100000000005,005104,左燃机屏蔽,4,000,
100100000000005,005105,手动/自动起动,2,000,
100100000000005,005106,燃机XX冷转/启动,3,000,
100100000000005,005107,左燃机正常停机,2,000,
100100000000005,005108,紧急停机,2,000,
100100000000005,005109,主用判断,3,000,
100100000000005,005110,控制复位,3,000,
100100000000005,005111,燃料电池启动/停止,3,000,
100100000000005,005201,燃机XX起动延时,3,000,
100100000000005,005202,油机停机延时,2,000,
100100000000005,005203,加载延时,3,000,
100100000000005,005301,转速,2,000,
100100000000005,005302,油压,2,000,
100100000000005,005303,油温,3,000,
100100000000005,005304,水温,2,000,
